WM Code	Welsh Medium Type - see notes
WM	Welsh medium
EM	English medium
BB	Bilingual (Type B)
EW	English with significant Welsh
DS	Dual Stream
"NA"	Not applicable
AB	Bilingual (Type A)
CB	Bilingual (Type C)
TR	Transitional
