school-wls	name	enw	school-type-wls	principal-local-authority	address	cyfeiriad	start-date	end-date
6612075	Ysgol Babanod Morfa Nefyn	Ysgol Babanod Morfa Nefyn	1	GWN				
6612078	Ysgol Baladeulyn	Ysgol Baladeulyn	1	GWN				
6612081	Ysgol Gynradd Nebo	Ysgol Gynradd Nebo	1	GWN				
6612085	Ysgol Gymuned Penisarwaun	Ysgol Gymuned Penisarwaun	1	GWN				
6612089	Ysgol Bro Lleu	Ysgol Bro Lleu	1	GWN				
6612093	Ysgol Gynradd Pentreuchaf	Ysgol Gynradd Pentreuchaf	1	GWN				
6612097	Ysgol Rhiwlas	Ysgol Rhiwlas	1	GWN				
6612098	Ysgol Gynradd Rhosgadfan	Ysgol Gynradd Rhosgadfan	1	GWN				
6612099	Ysgol Gynradd Rhostryfan	Ysgol Gynradd Rhostryfan	1	GWN				
6612103	Ysgol Sarn Bach	Ysgol Sarn Bach	1	GWN				
6612104	Ysgol Eifion Wyn	Ysgol Eifion Wyn	1	GWN				
6612108	Ysgol Gynradd Talysarn	Ysgol Gynradd Talysarn	1	GWN				
6612110	Ysgol Y Gorlan	Ysgol Y Gorlan	1	GWN				
6612111	Ysgol Yr Eifl	Ysgol Yr Eifl	1	GWN				
6612112	Ysgol Gynradd Tudweiliog	Ysgol Gynradd Tudweiliog	1	GWN				
6612113	Ysgol Waunfawr	Ysgol Waunfawr	1	GWN				
6612116	Ysgol Glancegin	Ysgol Glancegin	1	GWN				
6612118	Ysgol Babanod Coedmawr	Ysgol Babanod Coedmawr	6	GWN				
6612119	Ysgol Yr Hendre	Ysgol Yr Hendre	1	GWN				
6612122	Ysgol Bontnewydd	Ysgol Bontnewydd	1	GWN				
6612123	Ysgol Gymraeg Y Garnedd	Ysgol Gymraeg Y Garnedd	1	GWN				
6612125	Ysgol Cymerau	Ysgol Cymerau	1	GWN				
6612126	Ysgol Abercaseg (Babanod)	Ysgol Abercaseg (Babanod)	6	GWN				
6612127	Ysgol Y Felinheli	Ysgol Y Felinheli	1	GWN				
6612180	Ysgol Bro Tegid	Ysgol Bro Tegid	1	GWN				
6612181	Ysgol y Traeth	Ysgol y Traeth	1	GWN				
6612185	Ysgol Gynradd Dyffryn Dulas	Ysgol Gynradd Dyffryn Dulas	1	GWN				
6612189	Ysgol Gynradd Dyffryn Ardudwy	Ysgol Gynradd Dyffryn Ardudwy	2	GWN				
6612190	Ysgol Bro Cynfal	Ysgol Bro Cynfal	1	GWN				
6612192	Ysgol Edmwnd Prys	Ysgol Edmwnd Prys	1	GWN				
6612194	Ysgol Gynradd Llanbedr	Ysgol Gynradd Llanbedr	2	GWN				
6612198	Ysgol Y Garreg	Ysgol Y Garreg	1	GWN				
6612199	Ysgol O M Edwards	Ysgol O M Edwards	1	GWN				
6612205	Ysgol Manod	Ysgol Manod	1	GWN				
6612207	Ysgol Gynradd Pennal	Ysgol Gynradd Pennal	1	GWN				
6612208	Ysgol Cefn Coch	Ysgol Cefn Coch	1	GWN				
6612210	Ysgol Talsarnau	Ysgol Talsarnau	1	GWN				
6612211	Ysgol Gynradd Tanygrisiau	Ysgol Gynradd Tanygrisiau	1	GWN				
6612212	Ysgol Gynradd Penybryn	Ysgol Gynradd Penybryn	2	GWN				
6612213	Ysgol Bro Hedd Wyn	Ysgol Bro Hedd Wyn	1	GWN				
6612214	Ysgol Bro Tryweryn	Ysgol Bro Tryweryn	1	GWN				
6612219	Ysgol Tanycastell	Ysgol Tanycastell	1	GWN				
6612220	Ysgol Ffridd Y Llyn	Ysgol Ffridd Y Llyn	1	GWN				
6612221	Ysgol Maenofferen	Ysgol Maenofferen	1	GWN				
6612227	Ysgol Hirael	Ysgol Hirael	1	GWN				
6612228	Ysgol Craig y Deryn	Ysgol Craig y Deryn	1	GWN				
6612229	Ysgol Bro Llifon	Ysgol Bro Llifon	1	GWN				
6613004	Ysgol Pont Y Gof	Ysgol Pont Y Gof	1	GWN				
6613005	Ysgol Gynradd Maesincla	Ysgol Gynradd Maesincla	1	GWN				
6613009	Ysgol Y Faenol	Ysgol Y Faenol	1	GWN				
6613010	Ysgol Foel Gron	Ysgol Foel Gron	1	GWN				
6613013	Ysgol Llandygai	Ysgol Llandygai	1	GWN				
6613018	Ysgol Gynradd Llandwrog	Ysgol Gynradd Llandwrog	1	GWN				
6613023	Ysgol Gynradd Llanystumdwy	Ysgol Gynradd Llanystumdwy	1	GWN				
6613029	Ysgol Tregarth	Ysgol Tregarth	1	GWN				
6613030	Ysgol Cae Top	Ysgol Cae Top	1	GWN				
6613300	Ysgol Santes Helen	Ysgol Santes Helen	1	GWN				
6613301	Ysgol Ein Harglwyddes	Ysgol Ein Harglwyddes	1	GWN				
6613305	Ysgol Beuno Sant	Ysgol Beuno Sant	1	GWN				
6614002	Ysgol Dyffryn Ogwen Bethesda	Ysgol Dyffryn Ogwen Bethesda	3	GWN				
6614003	Ysgol Botwnnog	Ysgol Botwnnog	7	GWN				
6614004	Ysgol Brynrefail	Ysgol Brynrefail	3	GWN				
6614007	Ysgol Dyffryn Nantlle	Ysgol Dyffryn Nantlle	3	GWN				
6614009	Ysgol Eifionydd	Ysgol Eifionydd	7	GWN				
6614031	Ysgol Y Moelwyn	Ysgol Y Moelwyn	7	GWN				
6614032	Ysgol Uwchradd Tywyn	Ysgol Uwchradd Tywyn	7	GWN				
6614033	Ysgol Y Berwyn	Ysgol Y Berwyn	3	GWN				
6614034	Ysgol Ardudwy	Ysgol Ardudwy	7	GWN				
6614036	Ysgol Friars	Ysgol Friars	3	GWN				
6614037	Ysgol Tryfan	Ysgol Tryfan	3	GWN				
6614039	Ysgol Syr Hugh Owen	Ysgol Syr Hugh Owen	3	GWN				
6614040	Ysgol Glan Y Mor	Ysgol Glan Y Mor	7	GWN				
6615500	Ysgol Bro Idris	Ysgol Bro Idris	8	GWN				
6617002	Ysgol Pendalar	Ysgol Pendalar	4	GWN				
6617010	Ysgol Hafod Lon	Ysgol Hafod Lon	4	GWN				
6622002	Ysgol Dolgarrog	Ysgol Dolgarrog	1	CWY				
6622012	Ysgol Betws Y Coed	Ysgol Betws Y Coed	1	CWY				
6622023	Ysgol Capelulo	Ysgol Capelulo	1	CWY				
6622038	Ysgol Deganwy	Ysgol Deganwy	1	CWY				
6622043	Ysgol Dolwyddelan	Ysgol Dolwyddelan	1	CWY				
6622044	Ysgol Ffordd Dyffryn	Ysgol Ffordd Dyffryn	1	CWY				
6622053	Ysgol Glanwydden	Ysgol Glanwydden	1	CWY				
6622061	Ysgol Tudno	Ysgol Tudno	1	CWY				
6622063	Ysgol Morfa Rhianedd	Ysgol Morfa Rhianedd	1	CWY				
6622086	Ysgol Penmachno	Ysgol Penmachno	1	CWY				
6622103	Ysgol Llandrillo yn Rhos	Ysgol Llandrillo yn Rhos	1	CWY				
6622104	Ysgol Talhaiarn	Ysgol Talhaiarn	1	CWY				
6622106	Ysgol Babanod Mochdre	Ysgol Babanod Mochdre	6	CWY				
6622107	Ysgol Tal-y-Bont	Ysgol Tal-y-Bont	1	CWY				
6622108	Ysgol T. Gwynn Jones	Ysgol T. Gwynn Jones	6	CWY				
