school-wls	name	enw	school-type-wls	principal-local-authority	address	cyfeiriad	start-date	end-date
6652224	Ysgol Bryn Tabor	Ysgol Bryn Tabor	1	WRX				
6652232	Ysgol Sant Dunawd	Ysgol Sant Dunawd	1	WRX				
6652235	Holt C.P. School	Holt C.P. School	1	WRX				
6652238	Ysgol Bodhyfryd	Ysgol Bodhyfryd	1	WRX				
6652259	Ysgol I.D. Hooson	Ysgol I.D. Hooson	1	WRX				
6652263	Ysgol Plas Coch	Ysgol Plas Coch	1	WRX				
6652266	Penygelli C P School	Penygelli C P School	1	WRX				
6652267	Ysgol Penrhyn New Broughton Cp	Ysgol Penrhyn New Broughton Cp	1	WRX				
6652268	Ysgol Heulfan	Ysgol Heulfan	1	WRX				
6652269	Hafod Y Wern Community Primary School	Hafod Y Wern Community Primary School	1	WRX				
6652270	Gwenfro Community Primary	Gwenfro Community Primary	1	WRX				
6652271	Park Community Primary School Llay	Park Community Primary School Llay	1	WRX				
6652272	Rhosymedre Community Primary	Rhosymedre Community Primary	1	WRX				
6652273	Ysgol Maes y Mynydd	Ysgol Maes y Mynydd	1	WRX				
6652274	Gwersyllt Community Primary School	Gwersyllt Community Primary School	1	WRX				
6652275	Penycae Community Primary School	Penycae Community Primary School	1	WRX				
6652276	Acton Primary	Acton Primary	1	WRX				
6652277	Victoria Community Primary	Victoria Community Primary	1	WRX				
6652278	Ysgol y Waun	Ysgol y Waun	1	WRX				
6652279	Ysgol Bro Alun	Ysgol Bro Alun	1	WRX				
6652280	Ysgol Yr Hafod	Ysgol Yr Hafod	1	WRX				
6652281	Borras Park Community Primary School	Borras Park Community Primary School	1	WRX				
6653028	St Peter's School	St Peter's School	1	WRX				
6653036	Pentre Ciw Voluntary Controlled	Pentre Ciw Voluntary Controlled	1	WRX				
6653042	Eyton Primary School	Eyton Primary School	1	WRX				
6653054	Borderbrook School	Borderbrook School	1	WRX				
6653055	St Giles Controlled Primary School	St Giles Controlled Primary School	1	WRX				
6653301	Bronington Church In Wales V.A	Bronington Church In Wales V.A	1	WRX				
6653305	Madras Va School	Madras Va School	1	WRX				
6653326	St Chad's Church In Wales Aided School	St Chad's Church In Wales Aided School	1	WRX				
6653334	St Mary's Rc Primary	St Mary's Rc Primary	1	WRX				
6653337	Minera	Minera	1	WRX				
6653338	All Saints Voluntary Aided Sch	All Saints Voluntary Aided Sch	1	WRX				
6653341	St Mary's Church In Wales	St Mary's Church In Wales	1	WRX				
6653342	Brymbo Aided (St. Mary's)	Brymbo Aided (St. Mary's)	1	WRX				
6653343	St Anne's Catholic Primary	St Anne's Catholic Primary	1	WRX				
6653346	St Mary's Overton	St Mary's Overton	1	WRX				
6653347	St Paul's Voluntary Aided	St Paul's Voluntary Aided	1	WRX				
6654029	Grango	Grango	7	WRX				
6654032	Ysgol Morgan Llwyd	Ysgol Morgan Llwyd	3	WRX				
6654033	Ysgol Bryn Alyn	Ysgol Bryn Alyn	7	WRX				
6654034	Darland High School	Darland High School	7	WRX				
6654044	Ysgol Rhiwabon	Ysgol Rhiwabon	3	WRX				
6654048	Rhosnesni High School	Rhosnesni High School	7	WRX				
6654049	Ysgol Clywedog	Ysgol Clywedog	7	WRX				
6654603	St Joseph's Catholic And Anglican High	St Joseph's Catholic And Anglican High	7	WRX				
6655401	The Maelor School	The Maelor School	3	WRX				
6657005	St Christophers School	St Christophers School	4	WRX				
6662002	Abermule Primary School	Abermule Primary School	1	POW				
6662003	Arddleen C.P. School	Arddleen C.P. School	1	POW				
6662004	Ysgol Gynradd Gymunedol Dyffryn Banw	Ysgol Gynradd Gymunedol Dyffryn Banw	2	POW				
6662005	Berriew C.P. School	Berriew C.P. School	1	POW				
6662008	Caersws C.P. School	Caersws C.P. School	1	POW				
6662009	Ysgol Gynradd Carno	Ysgol Gynradd Carno	1	POW				
6662010	Carreghofa C.P. School	Carreghofa C.P. School	1	POW				
6662018	Leighton C.P. School	Leighton C.P. School	1	POW				
6662019	Ysgol Llanbrynmair	Ysgol Llanbrynmair	1	POW				
6662020	Llandinam C.P. School	Llandinam C.P. School	1	POW				
6662021	Ysgol Gynradd Llanfair Caereinion	Ysgol Gynradd Llanfair Caereinion	2	POW				
6662033	Meifod C.P. School	Meifod C.P. School	1	POW				
6662040	Penygloddfa C.P. School	Penygloddfa C.P. School	1	POW				
6662041	Ysgol Pontrobert	Ysgol Pontrobert	1	POW				
6662044	Ysgol Dyffryn Trannon	Ysgol Dyffryn Trannon	1	POW				
6662048	Ladywell Green Nurs. & Inf. School	Ladywell Green Nurs. & Inf. School	12	POW				
6662049	Guilsfield C.P. School	Guilsfield C.P. School	1	POW				
6662050	Llanidloes C.P. School	Llanidloes C.P. School	1	POW				
6662051	Buttington Trewern C.P. School	Buttington Trewern C.P. School	1	POW				
6662053	Brynhafren C.P. School	Brynhafren C.P. School	2	POW				
6662054	Churchstoke C.P. School	Churchstoke C.P. School	1	POW				
6662056	Hafren C.P. School	Hafren C.P. School	5	POW				
6662057	Ysgol Gynradd Llanfyllin	Ysgol Gynradd Llanfyllin	1	POW				
6662058	Ysgol Gynradd Glantwymyn	Ysgol Gynradd Glantwymyn	1	POW				
6662059	Ysgol Pennant	Ysgol Pennant	1	POW				
6662060	Maesyrhandir C.P. School	Maesyrhandir C.P. School	1	POW				
6662062	Treowen C.P. School	Treowen C.P. School	1	POW				
6662066	Franksbridge C.P. School	Franksbridge C.P. School	1	POW				
6662068	Llanbister C.P. School	Llanbister C.P. School	1	POW				
6662070	Llandrindod Wells C.P. School	Llandrindod Wells C.P. School	1	POW				
6662071	Llanfihangel Rhydithon C.P. School	Llanfihangel Rhydithon C.P. School	1	POW				
6662075	Presteigne C.P. School	Presteigne C.P. School	1	POW				
6662076	Radnor Valley C.P. School	Radnor Valley C.P. School	1	POW				
6662077	Crossgates C.P. School	Crossgates C.P. School	1	POW				
6662079	Mount Street C.P. Junior	Mount Street C.P. Junior	5	POW				
6662080	Mount Street C.P. Infants	Mount Street C.P. Infants	6	POW				
6662084	Ysgol Dolafon	Ysgol Dolafon	1	POW				
6662089	Builth Wells C.P. School	Builth Wells C.P. School	1	POW				
6662092	Sennybridge C.P. School	Sennybridge C.P. School	1	POW				
6662113	Crickhowell C.P. School	Crickhowell C.P. School	1	POW				
6662115	Cradoc C.P. School	Cradoc C.P. School	1	POW				
6662116	Hay-on-Wye C.P. School	Hay-on-Wye C.P. School	1	POW				
6662117	Llangynidr C.P. School	Llangynidr C.P. School	1	POW				
6662122	Irfon Valley C.P. School	Irfon Valley C.P. School	1	POW				
6662125	Llanfaes C.P. School	Llanfaes C.P. School	1	POW				
6662127	Ysgol y Bannau	Ysgol y Bannau	1	POW				
6662129	Ysgol Rhiw Bechan	Ysgol Rhiw Bechan	1	POW				
6662146	Llanrhaeadr Ym Mochnant C.P. School	Llanrhaeadr Ym Mochnant C.P. School	1	POW				
6662147	Ysgol Bro Cynllaith	Ysgol Bro Cynllaith	1	POW				
6662148	Ysgol Dafydd Llwyd	Ysgol Dafydd Llwyd	1	POW				
6662149	Ysgol y Cribarth	Ysgol y Cribarth	1	POW				
6662150	Ysgol Golwg y Cwm	Ysgol Golwg y Cwm	1	POW				
6662151	Ysgol Bro Tawe	Ysgol Bro Tawe	1	POW				
6662152	Ysgol Gymraeg Dyffryn y Glowyr	Ysgol Gymraeg Dyffryn y Glowyr	1	POW				
6662153	Ysgol y Mynydd Du	Ysgol y Mynydd Du	1	POW				
6662154	Ysgol Gymraeg y Trallwng	Ysgol Gymraeg y Trallwng	1	POW				
6663000	Llanfechain C.I.W. School	Llanfechain C.I.W. School	1	POW				
6663002	Montgomery C.I.W. School	Montgomery C.I.W. School	1	POW				
6663016	Forden C.I.W. School	Forden C.I.W. School	1	POW				
6663021	Llandysilio C.I.W. School	Llandysilio C.I.W. School	1	POW				
6663022	Castle Caereinion Church In Wales School	Castle Caereinion Church In Wales School	1	POW				
6663026	Gladestry C.I.W. School	Gladestry C.I.W. School	1	POW				
6663030	Ysgol Trefonnen Church in Wales Community Primary	Ysgol Trefonnen Church in Wales Community Primary	1	POW				
6663031	Newbridge-On-Wye Church In Wales School	Newbridge-On-Wye Church In Wales School	1	POW				
6663033	Clyro C.I.W. School	Clyro C.I.W. School	1	POW				
6663035	Knighton C.I.W. School	Knighton C.I.W. School	1	POW				
6663036	Rhayader C.I.W. School	Rhayader C.I.W. School	1	POW				
6663037	Llanelwedd Church In Wales Primary School	Llanelwedd Church In Wales Primary School	1	POW				
6663046	Llangedwyn C In W Primary School	Llangedwyn C In W Primary School	1	POW				
6663050	Llangors C.I.W. School	Llangors C.I.W. School	1	POW				
6663051	Welshpool Church in Wales Primary School	Welshpool Church in Wales Primary School	1	POW				
6663301	St. Michael's C.I.W. School	St. Michael's C.I.W. School	1	POW				
6663303	Llansantffraid C In W School	Llansantffraid C In W School	1	POW				
6663316	Llanbedr C.I.W. (Aided)	Llanbedr C.I.W. (Aided)	1	POW				
6663317	Archdeacon Griffiths C.I.W. Primary School	Archdeacon Griffiths C.I.W. Primary School	1	POW				
6663318	Priory Church In Wales School	Priory Church In Wales School	1	POW				
6663320	St Mary`s R.C. (A) School	St Mary`s R.C. (A) School	1	POW				
6663322	Llangattock C.I.W. School	Llangattock C.I.W. School	1	POW				
6664000	Ysgol Uwchradd Caereinion High School	Ysgol Uwchradd Caereinion High School	3	POW				
6664001	Llanfyllin High School	Llanfyllin High School	3	POW				
6664002	Llanidloes High School	Llanidloes High School	3	POW				
6664011	Newtown High School	Newtown High School	3	POW				
6664013	Welshpool High School	Welshpool High School	3	POW				
6664019	Llandrindod High School	Llandrindod High School	3	POW				
6664020	Builth Wells High School	Builth Wells High School	3	POW				
6664021	Ysgol Maesydderwen	Ysgol Maesydderwen	3	POW				
6664022	Brecon High School	Brecon High School	3	POW				
6664023	Gwernyfed High School	Gwernyfed High School	3	POW				
6664024	Crickhowell High School	Crickhowell High School	3	POW				
6665200	Ysgol Gynradd Llanerfyl	Ysgol Gynradd Llanerfyl	1	POW				
6665500	Ysgol Bro Hyddgen	Ysgol Bro Hyddgen	13	POW				
6667001	Ysgol Neuadd Brynllywarch Hall School	Ysgol Neuadd Brynllywarch Hall School	4	POW				
6667002	Ysgol Cedewain	Ysgol Cedewain	4	POW				
6667004	Ysgol Penmaes	Ysgol Penmaes	4	POW				
6672281	Ysgol Gymunedol Gynradd Aberaeron	Ysgol Gymunedol Gynradd Aberaeron	1	CGN				
6672284	Ysgol Gymunedol Cilcennin	Ysgol Gymunedol Cilcennin	2	CGN				
6672285	Ysgol Gymunedol Ciliau Parc	Ysgol Gymunedol Ciliau Parc	2	CGN				
6672288	Ysgol Gymunedol Dihewyd	Ysgol Gymunedol Dihewyd	2	CGN				
6672289	Ysgol Gymunedol Felinfach	Ysgol Gymunedol Felinfach	2	CGN				
6672291	Ysgol Gymunedol Llanarth	Ysgol Gymunedol Llanarth	2	CGN				
6672293	Ysgol Gymunedol Llannon	Ysgol Gymunedol Llannon	2	CGN				
6672295	Ysgol Gymunedol Cei Newydd	Ysgol Gymunedol Cei Newydd	2	CGN				
6672298	Ysgol Gymunedol Talgarreg	Ysgol Gymunedol Talgarreg	2	CGN				
6672299	Yr Ysgol Gymunedol Gymraeg	Yr Ysgol Gymunedol Gymraeg	1	CGN				
6672303	Ysgol Gymunedol Comins Coch	Ysgol Gymunedol Comins Coch	2	CGN				
6672308	Ysgol Gymunedol Llanfarian	Ysgol Gymunedol Llanfarian	2	CGN				
6672309	Ysgol Gymunedol Llanfihangel-Y-Creuddyn	Ysgol Gymunedol Llanfihangel-Y-Creuddyn	2	CGN				
6672310	Ysgol Gymunedol Llangwyryfon	Ysgol Gymunedol Llangwyryfon	2	CGN				
6672311	Ysgol Gymunedol Llanilar	Ysgol Gymunedol Llanilar	2	CGN				
6672312	Ysgol Gymunedol Mynach	Ysgol Gymunedol Mynach	2	CGN				
6672313	Ysgol Gymunedol Penllwyn	Ysgol Gymunedol Penllwyn	2	CGN				
6672314	Ysgol Gymunedol Llwynyreos	Ysgol Gymunedol Llwynyreos	1	CGN				
6672315	Ysgol Gymunedol Syr John Rhys	Ysgol Gymunedol Syr John Rhys	2	CGN				
6672316	Ysgol Gymunedol Rhydypennau	Ysgol Gymunedol Rhydypennau	1	CGN				
6672317	Ysgol Gymunedol Talybont	Ysgol Gymunedol Talybont	2	CGN				
6672319	Ysgol Gymunedol Aberporth	Ysgol Gymunedol Aberporth	2	CGN				
6672320	Ysgol Gymunedol Beulah	Ysgol Gymunedol Beulah	2	CGN				
6672323	Ysgol Gymunedol Llechryd	Ysgol Gymunedol Llechryd	2	CGN				
6672324	Ysgol Gymunedol Penparc	Ysgol Gymunedol Penparc	2	CGN				
6672345	Ysgol Gymunedol Trewen	Ysgol Gymunedol Trewen	2	CGN				
6672353	Ysgol Gymunedol Pontrhydfendigaid	Ysgol Gymunedol Pontrhydfendigaid	2	CGN				
6672361	Ysgol Gymunedol Plascrug	Ysgol Gymunedol Plascrug	1	CGN				
6672362	Ysgol Gymunedol Craig Yr Wylfa	Ysgol Gymunedol Craig Yr Wylfa	2	CGN				
6672363	Ysgol Gymunedol Penrhyncoch	Ysgol Gymunedol Penrhyncoch	2	CGN				
6672366	Ysgol Gymunedol Y Dderi	Ysgol Gymunedol Y Dderi	1	CGN				
6672367	Ysgol Gymunedol Cenarth	Ysgol Gymunedol Cenarth	2	CGN				
6672368	Ysgol Gynradd Aberteifi	Ysgol Gynradd Aberteifi	1	CGN				
6672369	Ysgol Bro Sion Cwilt	Ysgol Bro Sion Cwilt	1	CGN				
6672371	Ysgol Gynradd T Llew Jones	Ysgol Gynradd T Llew Jones	1	CGN				
6672372	Rhos Helyg	Rhos Helyg	2	CGN				
6672373	Ysgol Dyffryn Cledlyn	Ysgol Dyffryn Cledlyn	1	CGN				
6673058	Ysgol Wirfoddol Myfenydd	Ysgol Wirfoddol Myfenydd	2	CGN				
6673318	Ysgol Gymorthedig Padarn Sant	Ysgol Gymorthedig Padarn Sant	2	CGN				
6674042	Gyfun Aberaeron Comprehensive	Gyfun Aberaeron Comprehensive	3	CGN				
6674044	Ysgol Uwchradd Aberteifi	Ysgol Uwchradd Aberteifi	3	CGN				
6674047	Penglais School	Penglais School	3	CGN				
6674048	Ysgol Gyfun Penweddig	Ysgol Gyfun Penweddig	3	CGN				
6675500	Ysgol Bro Pedr	Ysgol Bro Pedr	9	CGN				
6675501	Ysgol Henry Richard	Ysgol Henry Richard	8	CGN				
6675502	Ysgol Bro Teifi	Ysgol Bro Teifi	9	CGN				
6682203	Sageston Community Primary School	Sageston Community Primary School	1	PEM				
6682209	Ysgol Gymunedol Eglwyswrw	Ysgol Gymunedol Eglwyswrw	2	PEM				
6682212	Ysgol Gymunedol Wdig	Ysgol Gymunedol Wdig	1	PEM				
6682214	Fenton Community Primary School	Fenton Community Primary School	1	PEM				
6682220	Johnston C P School	Johnston C P School	1	PEM				
6682222	Lamphey Primary School	Lamphey Primary School	1	PEM				
6682223	Ysgol Brynconin Cp	Ysgol Brynconin Cp	1	PEM				
6682228	Hook Cp	Hook Cp	1	PEM				
6682231	Ysgol Llanychllwydog	Ysgol Llanychllwydog	1	PEM				
6682233	Maenclochog Cp	Maenclochog Cp	2	PEM				
6682237	Milford Haven Junior School	Milford Haven Junior School	5	PEM				
6682242	Narberth Cp School	Narberth Cp School	1	PEM				
6682243	Ysgol Bro Ingli	Ysgol Bro Ingli	1	PEM				
6682250	Puncheston Cp	Puncheston Cp	2	PEM				
6682253	St Dogmaels Cp	St Dogmaels Cp	1	PEM				
6682254	Wolfscastle Cp	Wolfscastle Cp	1	PEM				
6682258	Saundersfoot Cp	Saundersfoot Cp	1	PEM				
6682260	Stepaside C. P. School	Stepaside C. P. School	1	PEM				
6682261	Templeton	Templeton	2	PEM				
6682263	Solva Community School	Solva Community School	1	PEM				
6682265	The Meads Cp Infant And Nursery School	The Meads Cp Infant And Nursery School	6	PEM				
6682266	Tavernspite Cp	Tavernspite Cp	1	PEM				
6682267	Mount Airey Community Nursery And Infant	Mount Airey Community Nursery And Infant	6	PEM				
6682270	Ysgol Gymunedol Croesgoch	Ysgol Gymunedol Croesgoch	1	PEM				
6682271	Broad Haven Cp	Broad Haven Cp	1	PEM				
6682273	Roch C P	Roch C P	1	PEM				
6682383	Ysgol Glan Cleddau	Ysgol Glan Cleddau	1	PEM				
6682384	Coastlands Cp	Coastlands Cp	1	PEM				
6682385	Ysgol Clydau	Ysgol Clydau	2	PEM				
6682386	Pembroke Dock Community School	Pembroke Dock Community School	1	PEM				
6682387	Monkton Priory C.P. School	Monkton Priory C.P. School	1	PEM				
6682388	Gelli Aur/Golden Grove	Gelli Aur/Golden Grove	1	PEM				
6682389	Ysgol Glannau Gwaun	Ysgol Glannau Gwaun	1	PEM				
6682390	Ysgol y Frenni	Ysgol y Frenni	1	PEM				
6682391	Prendergast Cp	Prendergast Cp	1	PEM				
6682392	Pennar Community School	Pennar Community School	1	PEM				
6682393	Neyland Community School	Neyland Community School	1	PEM				
6682395	Ysgol Hafan y Mor	Ysgol Hafan y Mor	1	PEM				
6683035	Cilgerran Church In Wales Vc	Cilgerran Church In Wales Vc	1	PEM				
6683036	Cosheston Vc	Cosheston Vc	1	PEM				
6683040	Cleddau Reach Vc School	Cleddau Reach Vc School	1	PEM				
6683042	Manorbier V.C.P School	Manorbier V.C.P School	1	PEM				
6683050	Spittal Church In Wales Voluntary Controlled School	Spittal Church In Wales Voluntary Controlled School	1	PEM				
6683053	Haverfordwest V.C.	Haverfordwest V.C.	5	PEM				
6683055	St Florence Vc School	St Florence Vc School	2	PEM				
6683058	Ger Y Llan	Ger Y Llan	1	PEM				
6683059	Tenby Church in Wales VC Primary School	Tenby Church in Wales VC Primary School	1	PEM				
6683060	Penrhyn Church in Wales Voluntary Controlled School	Penrhyn Church in Wales Voluntary Controlled School	1	PEM				
6683061	Gelliswick Church in Wales Voluntary Controlled Primary School	Gelliswick Church in Wales Voluntary Controlled Primary School	1	PEM				
6683310	Ysgol Bro Dewi Church In Wales Va	Ysgol Bro Dewi Church In Wales Va	1	PEM				
6683311	Holy Name Rc School	Holy Name Rc School	2	PEM				
6683312	St. Mary's Catholic Primary School	St. Mary's Catholic Primary School	1	PEM				
6683313	Mary Immaculate Catholic Primary School	Mary Immaculate Catholic Primary School	1	PEM				
6683314	St Francis R C Primary School	St Francis R C Primary School	1	PEM				
6683315	St.Aidan's V.A.	St.Aidan's V.A.	1	PEM				
6683319	St. Teilo's Catholic Primary School	St. Teilo's Catholic Primary School	1	PEM				
6683320	St. Mark's V. A. School	St. Mark's V. A. School	1	PEM				
6683321	St. Oswalds VA School	St. Oswalds VA School	1	PEM				
6684031	Ysgol Bro Gwaun	Ysgol Bro Gwaun	3	PEM				
6684034	Ysgol Dewi Sant	Ysgol Dewi Sant	3	PEM				
6684035	Ysgol Greenhill School	Ysgol Greenhill School	3	PEM				
6684038	Pembroke School	Pembroke School	3	PEM				
6684055	Sir Thomas Picton School	Sir Thomas Picton School	3	PEM				
6684063	Milford Haven School	Milford Haven School	3	PEM				
6684064	Ysgol y Preseli	Ysgol y Preseli	3	PEM				
6684511	Tasker-Milward V.C. School	Tasker-Milward V.C. School	3	PEM				
6687001	Portfield School	Portfield School	4	PEM				
6691000	Ammanford Nursery	Ammanford Nursery	11	CMN				
6692000	Cefneithin C.P.	Cefneithin C.P.	1	CMN				
6692001	Ysgol Gynradd Drefach	Ysgol Gynradd Drefach	1	CMN				
6692002	Maesybont C.P. School	Maesybont C.P. School	1	CMN				
6692003	Llechyfedach C.P. School	Llechyfedach C.P. School	1	CMN				
6692006	Ysgol Gynradd Y Tymbl	Ysgol Gynradd Y Tymbl	1	CMN				
6692007	Ysgol Gynradd Gorslas	Ysgol Gynradd Gorslas	1	CMN				
6692008	Cross Hands C.P. School	Cross Hands C.P. School	1	CMN				
6692009	Llangain C.P. School	Llangain C.P. School	1	CMN				
6692014	Ysgol Gynradd Peniel	Ysgol Gynradd Peniel	1	CMN				
6692018	Ysgol Gynradd Bancffosfelen	Ysgol Gynradd Bancffosfelen	1	CMN				
6692019	Ysgol Gwynfryn	Ysgol Gwynfryn	2	CMN				
6692020	Carway C.P. School	Carway C.P. School	1	CMN				
6692023	Pontiets C.P. School	Pontiets C.P. School	2	CMN				
6692024	Ysgol Gynradd Ponthenri	Ysgol Gynradd Ponthenri	2	CMN				
6692034	Bancyfelin C.P. School	Bancyfelin C.P. School	1	CMN				
6692037	Meidrim C.P. School	Meidrim C.P. School	2	CMN				
6692042	Ysgol Gynradd Saron	Ysgol Gynradd Saron	2	CMN				
6692043	Betws C.P. School	Betws C.P. School	1	CMN				
6692044	Ysgol Gynradd Ty-croes	Ysgol Gynradd Ty-croes	1	CMN				
6692050	Ysgol Gynradd Parcyrhun	Ysgol Gynradd Parcyrhun	1	CMN				
6692052	Ysgol Gynradd Blaenau	Ysgol Gynradd Blaenau	2	CMN				
6692057	Ysgol Gynradd Llanedi	Ysgol Gynradd Llanedi	2	CMN				
6692061	Ysgol Gynradd Ffairfach	Ysgol Gynradd Ffairfach	1	CMN				
6692065	Talley C.P School	Talley C.P School	1	CMN				
6692067	Cwrt Henri Primary School	Cwrt Henri Primary School	1	CMN				
6692080	Llangadog C.P. School	Llangadog C.P. School	1	CMN				
6692084	Ysgol Rhys Prichard	Ysgol Rhys Prichard	1	CMN				
6692098	Ysgol Llys Hywel	Ysgol Llys Hywel	2	CMN				
6692104	Ysgol Gynradd Brynsaron	Ysgol Gynradd Brynsaron	2	CMN				
6692109	Llanpumsaint School	Llanpumsaint School	2	CMN				
6692112	Ysgol G. Mynyddygarreg	Ysgol G. Mynyddygarreg	2	CMN				
6692114	Johnstown Primary School	Johnstown Primary School	1	CMN				
6692116	Ysgol Y Dderwen	Ysgol Y Dderwen	1	CMN				
6692119	Llanmiloe C.P. School	Llanmiloe C.P. School	2	CMN				
6692120	Bryn C.P. School	Bryn C.P. School	1	CMN				
6692121	Ysgol Y Bynea	Ysgol Y Bynea	1	CMN				
6692123	Dafen Primary School	Dafen Primary School	1	CMN				
6692128	Ysgol Gynradd Pum Heol	Ysgol Gynradd Pum Heol	2	CMN				
6692131	Hendy C.P. School	Hendy C.P. School	1	CMN				
6692135	Ysgol Gymraeg Ffwrnes	Ysgol Gymraeg Ffwrnes	2	CMN				
6692159	Old Road C.P. School	Old Road C.P. School	1	CMN				
6692166	Ysgol Llansteffan	Ysgol Llansteffan	1	CMN				
6692167	Ysgol Gynradd Llannon	Ysgol Gynradd Llannon	1	CMN				
6692168	Ysgol Gymraeg Brynsierfel	Ysgol Gymraeg Brynsierfel	1	CMN				
6692169	Brynamman Primary School	Brynamman Primary School	1	CMN				
6692170	Abernant C.P. School	Abernant C.P. School	2	CMN				
6692171	Myrddin C.P. School	Myrddin C.P. School	1	CMN				
6692173	Llangunnor C.P. School	Llangunnor C.P. School	1	CMN				
6692175	Trimsaran C.P. School	Trimsaran C.P. School	1	CMN				
6692176	Swiss Valley C.P. School	Swiss Valley C.P. School	1	CMN				
6692177	Parc Y Tywyn School	Parc Y Tywyn School	1	CMN				
6692178	Pembrey C.P. School	Pembrey C.P. School	1	CMN				
6692179	Ysgol Gymraeg Rhydaman	Ysgol Gymraeg Rhydaman	1	CMN				
6692180	Ysgol Beca	Ysgol Beca	2	CMN				
6692181	Llandybie C.P. School	Llandybie C.P. School	1	CMN				
6692182	Ysgol Gynradd Hafodwenog	Ysgol Gynradd Hafodwenog	2	CMN				
6692183	Ysgol Gymraeg Teilo Sant	Ysgol Gymraeg Teilo Sant	1	CMN				
6692184	Llanybydder C.P. School	Llanybydder C.P. School	1	CMN				
6692185	Ysgol Gynradd Llandeilo Primary School	Ysgol Gynradd Llandeilo Primary School	1	CMN				
6692187	Cynwyl Elfed School	Cynwyl Elfed School	2	CMN				
6692188	Halfway C.P. School	Halfway C.P. School	1	CMN				
6692189	Pwll C.P. School	Pwll C.P. School	1	CMN				
6692190	Penygaer Primary School	Penygaer Primary School	1	CMN				
6692192	Ysgol Y Castell	Ysgol Y Castell	1	CMN				
6692193	Penygroes C.P. School	Penygroes C.P. School	2	CMN				
6692194	Y.G. Nantgaredig	Y.G. Nantgaredig	1	CMN				
6692370	Ysgol Gymraeg Gwenllian	Ysgol Gymraeg Gwenllian	1	CMN				
6692371	Ysgol Gymraeg Dewi Sant	Ysgol Gymraeg Dewi Sant	1	CMN				
6692373	Ysgol Gynradd Pontyberem	Ysgol Gynradd Pontyberem	1	CMN				
6692374	Bigyn C.P. School	Bigyn C.P. School	1	CMN				
6692375	Stebonheath C.P. School	Stebonheath C.P. School	1	CMN				
6692379	Ysgol Y Ddwylan	Ysgol Y Ddwylan	2	CMN				
6692380	Richmond Park Primary School	Richmond Park Primary School	1	CMN				
6692384	Ysgol Griffith Jones	Ysgol Griffith Jones	1	CMN				
6692385	Ysgol y Fro	Ysgol y Fro	2	CMN				
6692386	Ysgol Carreg Hirfaen	Ysgol Carreg Hirfaen	1	CMN				
6692387	Cae'r Felin Community School	Cae'r Felin Community School	1	CMN				
6692388	Ysgol Y Bedol	Ysgol Y Bedol	1	CMN				
6692389	Ysgol Bro Brynach	Ysgol Bro Brynach	1	CMN				
6692390	Ysgol Bryn Teg	Ysgol Bryn Teg	1	CMN				
6692391	Ysgol Y Felin	Ysgol Y Felin	2	CMN				
6692392	Ysgol Bro Banw	Ysgol Bro Banw	2	CMN				
6692393	Maes Y Morfa Community Primary School	Maes Y Morfa Community Primary School	1	CMN				
6692394	Burry Port Community Primary School	Burry Port Community Primary School	1	CMN				
6692395	Ysgol Pen Rhos	Ysgol Pen Rhos	1	CMN				
6692396	Ysgol Gymraeg Llangennech	Ysgol Gymraeg Llangennech	1	CMN				
6693000	Abergwili Voluntary Controlled Primary School	Abergwili Voluntary Controlled Primary School	2	CMN				
6693002	Tremoilet V.C.P.	Tremoilet V.C.P.	2	CMN				
6693003	Laugharne V.C.P. School	Laugharne V.C.P. School	2	CMN				
6693004	Ysgol Gynradd Wirfoddol Llanddarog	Ysgol Gynradd Wirfoddol Llanddarog	1	CMN				
6693013	Ferryside V.C.P. School	Ferryside V.C.P. School	2	CMN				
6693026	Ysgol Gynradd Wirfoddol Llanllwni	Ysgol Gynradd Wirfoddol Llanllwni	2	CMN				
6693300	St Mary's Catholic Primary School (Llanelli)	St Mary's Catholic Primary School (Llanelli)	1	CMN				
6693301	St Mary's R.C. Primary School (Carmarthen)	St Mary's R.C. Primary School (Carmarthen)	1	CMN				
6693307	Ysgol Wirfoddol Penboyr	Ysgol Wirfoddol Penboyr	2	CMN				
6693321	Pentip V.A. C.I.W. Primary School	Pentip V.A. C.I.W. Primary School	1	CMN				
6693322	Model Church In Wales School	Model Church In Wales School	1	CMN				
6694029	Ysgol Dyffryn Aman	Ysgol Dyffryn Aman	3	CMN				
6694050	Coedcae School	Coedcae School	7	CMN				
6694052	Ysgol Gyfun Y Strade	Ysgol Gyfun Y Strade	3	CMN				
6694053	Glan-y-Mor School	Glan-y-Mor School	7	CMN				
6694054	Bryngwyn School	Bryngwyn School	7	CMN				
6694056	Ysgol Gyfun Gymraeg Bro Myrddin	Ysgol Gyfun Gymraeg Bro Myrddin	3	CMN				
6694060	Ysgol Gyfun Emlyn	Ysgol Gyfun Emlyn	3	CMN				
6694063	Queen Elizabeth High School	Queen Elizabeth High School	3	CMN				
6694064	Ysgol Maes y Gwendraeth	Ysgol Maes y Gwendraeth	3	CMN				
6694065	Ysgol Bro Dinefwr	Ysgol Bro Dinefwr	3	CMN				
6694512	Dyffryn Taf	Dyffryn Taf	3	CMN				
6694600	St John Lloyd Catholic Comprehensive School	St John Lloyd Catholic Comprehensive School	7	CMN				
6697000	Ysgol Heol Goffa	Ysgol Heol Goffa	4	CMN				
